"","ID","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ll","Persec","ICARTot","Order"
"ID14","57611238eaf3f80007481e8e",0.529053798051087,0.112131034709877,0.638621541398448,0.0541549136267174,3.03392267607121,0.24274860649532,NA,NA,NA,NA,NA,NA,-53.5378370108874,3,2,"Fair"
"ID15","5778eeb20e49300001ba9ec0",0.929010369446312,0.57746143111564,0.969974667689718,0.771624497548138,12.6685062296339,0.00862887434241161,NA,NA,NA,NA,NA,NA,-79.5176772886098,0,4,"Unfair"
"ID16","577a6900f8f7ed00014b537b",0.036332772759466,0.901847099717249,0.995462460024033,0.30828501451319,0.371297704407091,0.63583217556133,NA,NA,NA,NA,NA,NA,-83.4753851584461,0,4,"Fair"
"ID17","5784d25070c76a00012427e0",0.0410645433444755,0.125554471491041,1.28759041195903e-13,5.4398920821364,5.44247355093105,0.774901838596536,NA,NA,NA,NA,NA,NA,-46.5280903338549,0,9,"Fair"
"ID18","579fb6f46475d400015ab855",0.999999923079489,2.83797794513396,0.999999914268213,0.63226829217756,4.92240278575132,0.0497582512996363,NA,NA,NA,NA,NA,NA,-51.5643147807918,15,5,"Unfair"
"ID19","57f8a3ece480f5000136f588",0.000435893025033842,0.605210146635985,0.828813019710118,2.51291935572027,6.32838576393743,0.0353942703115171,NA,NA,NA,NA,NA,NA,-50.4355492283897,0,5,"Fair"
"ID20","5808ec7ff0740c0001789a1b",0.692864303845573,1.66587629499654,0.589917505978913,0.467519092350342,2.74755612966601,0.654744471845214,NA,NA,NA,NA,NA,NA,-72.4552183813113,0,8,"Unfair"
"ID21","584726b8f063d30001161e6a",0.057847463442133,0.186018376039262,0.556985169836689,0.92013563178065,9.85115464853468,0.0596042957972477,NA,NA,NA,NA,NA,NA,-66.0169054802407,1,8,"Fair"
"ID22","58513454b9f14b000151795f",0.00308806329140456,1.34037971060731,0.934822712344108,0.33459612532849,7.87093800301064,0.0494518727308552,NA,NA,NA,NA,NA,NA,-59.4809821814689,7,4,"Fair"
"ID23","5870336cdb3e720001e230cd",0.291999087280369,0.454438270955513,0.979423048766776,3.23477592719625,2.83210559907974,0.0676493565713045,NA,NA,NA,NA,NA,NA,-64.113448563783,0,6,"Unfair"
"ID24","587291591c35f20001955c45",0.0333991942775426,0.0667097258373565,4.13814146622575e-09,1.96958606228021,2.90113204269511,0.571947371491689,NA,NA,NA,NA,NA,NA,-33.7230370749123,0,5,"Fair"
"ID25","587388b9db3e720001e2320e",0.999262471383741,0.833870127355893,0.947106821221716,0.0200151538988446,5.76993738700783,7.52141761170856e-07,NA,NA,NA,NA,NA,NA,-36.2896230433442,6,5,"Fair"
"ID26","587620554254cb0001c15a23",0.227380911508629,5.5625297091643,0.723417098768627,0.379272172037587,0.744620777980496,0.0328126711735599,NA,NA,NA,NA,NA,NA,-53.0394495623001,5,2,"Fair"
"ID27","5883d68d300c0b000113db56",0.996631508741162,3.22385728471183,0.967575705440715,0.210925299725359,12.7835304242686,2.23240379536128e-05,NA,NA,NA,NA,NA,NA,-70.5961405859973,0,1,"Fair"
"ID28","58c3c197da66280001b3c6e8",0.447287132439111,0.279191374078343,0.582211137141239,0.359144424144957,5.82189047081942,0.00570922970360964,NA,NA,NA,NA,NA,NA,-76.3555422729869,0,4,"Unfair"
"ID29","58cef97d5e07b6000139fa16",0.468981761063938,0.00666486432626931,0.990919582467054,1.93038193906393,2.24498444092571,0.0352152265500599,NA,NA,NA,NA,NA,NA,-30.6842067871319,3,9,"Unfair"
"ID30","58f364d67b2e410001c2ed1d",0.234203153462423,0.0221418215212177,0.983608238722197,1.73499308147705,3.70521749971465,0.128914857343472,NA,NA,NA,NA,NA,NA,-38.2503322566372,0,8,"Fair"
"ID31","58f89d1cedf274000143eb4e",0.978476388386461,1.70297028308735,0.978993685837346,1.58735236298074,4.80927511900187,0.000227114053130695,NA,NA,NA,NA,NA,NA,-71.0955066591492,3,6,"Fair"
"ID32","58fa6e1bd0055c0001dd838a",0.343259414296647,1.41859793451283,0.678608391803764,0.217837789318783,0.590627890635601,0.588423957189588,NA,NA,NA,NA,NA,NA,-61.9253823185993,0,4,"Fair"
"ID33","590f202eea0e130001039e1f",0.632878783683413,0.0499621223252346,0.997936201862227,1.80438658358051,4.63491487572449,0.0218099334657511,NA,NA,NA,NA,NA,NA,-61.9073082532865,6,3,"Unfair"
"ID34","593ead9ea514380001e5cf86",0.979838476484272,0.444234051343689,0.997141749542152,0.732560841611279,8.64750160977939,6.08187230712792e-05,NA,NA,NA,NA,NA,NA,-71.0080656872428,2,4,"Unfair"
"ID35","595339f4ad2ce90001b88266",0.442628991837439,0.0213401522401192,0.990860010998191,1.94532978203447,7.46709443652523,0.472905812395834,NA,NA,NA,NA,NA,NA,-53.8528446094151,0,4,"Unfair"
"ID36","5953d37b3d663c00011d233c",0.84310896003704,4.82347364657142,0.994764702652056,2.45063125471442,5.82011473162801,0.074038888519467,NA,NA,NA,NA,NA,NA,-78.2020950951381,0,4,"Fair"
"ID37","598ab1ed19432500016fafa1",0.859574320434392,0.0952724704140457,0.833351817826751,0.217403522556266,1.41319203745646,0.934385171816274,NA,NA,NA,NA,NA,NA,-109.610528400815,0,2,"Fair"
"ID38","5991c4a8e339120001fb8c7e",0.673248841923062,1.67499934350198,0.660323095974094,1.60897629910708,0.325327398907103,0.582902376299934,NA,NA,NA,NA,NA,NA,-43.5192680856656,0,3,"Fair"
"ID39","5995ed90d1732a00013425c5",0.629223902630294,0.0515687305678864,0.648857930321845,0.0470716270213757,5.82266101190332,0.325273767159981,NA,NA,NA,NA,NA,NA,-46.0088643231461,2,1,"Fair"
"ID40","599614af004c4f0001cc8642",0.566128375831907,0.0904569047387582,0.589352853874235,0.0922447530251535,10.7778337292114,0.0313720316868104,NA,NA,NA,NA,NA,NA,-71.7168059132801,0,2,"Unfair"
"ID41","59c80c180aaf750001213cbf",0.636894854480546,1.38293189324503,0.999996102890354,0.0830721475466097,8.43110892799303,0.0147632081212123,NA,NA,NA,NA,NA,NA,-48.0944162183827,0,5,"Fair"
"ID42","59d38d62323bd80001e200bc",0.0204022853722708,1.03853330295477,0.929564493954417,1.61472178516843,0.270175271048774,0.557228019134447,NA,NA,NA,NA,NA,NA,-83.4894619236438,12,4,"Unfair"
"ID43","59d4b084115096000190dbce",0.997646300481898,1.02869062828202,0.974200159387144,0.530530883911557,11.7419692212627,0.000237047275277631,NA,NA,NA,NA,NA,NA,-74.6146035371738,0,7,"Unfair"
"ID44","59e5fd82e75b450001a691ec",0.0462714605096848,0.228182285864404,0.579872595252867,0.21542391390979,1.77727600901155,0.931529349197478,NA,NA,NA,NA,NA,NA,-29.5666068426554,5,6,"Fair"
"ID45","59e8cb08bab73300016bd7f7",0.0849680970822616,2.01954249363724,0.999135928568932,0.266482887721731,10.7562533594203,0.028651259045852,NA,NA,NA,NA,NA,NA,-57.9039346875452,0,5,"Fair"
"ID46","59e9d2c6c0d35a0001295448",0.35718450612003,0.115045990645142,0.608135910112405,0.0854986577853946,3.11971699261214,0.939795436334361,NA,NA,NA,NA,NA,NA,-46.4622357460909,0,1,"Fair"
"ID47","5a3996f6ae52e600010a0192",0.999999997371986,9.73456850432893,0.996970529530963,0.706338789246261,16.0399063801842,4.80100102676946e-07,NA,NA,NA,NA,NA,NA,-79.7858823274648,0,8,"Fair"
"ID48","5a3a570307245d0001fc0692",0.170303875868956,0.099047156374426,0.693594390819296,0.0609263603593353,7.69588783833226,0.972213891564706,NA,NA,NA,NA,NA,NA,-54.1816507957404,2,9,"Fair"
"ID49","5a3c0b842f91ec0001dc9bb4",0.438428264242103,0.488751100465901,0.426736235575416,0.448920032053355,2.6603721139066,0.00132453407795396,NA,NA,NA,NA,NA,NA,-70.972964168063,0,2,"Unfair"
"ID50","5a4e26a8f4c9dc0001b7a1b5",0.735087412458926,0.488545114688078,0.762801128983109,0.00970659855823482,5.07248672817597,0.999993855653232,NA,NA,NA,NA,NA,NA,-52.7521521647399,0,6,"Fair"
"ID51","5a5a3ec6ac5624000153e0f7",0.989538404984788,4.39579071952209,0.999999972161461,0.355155428726794,7.71224715255224,0.283405938330108,NA,NA,NA,NA,NA,NA,-46.3262320791943,0,2,"Unfair"
