"","ID","tau","lrc","res","sal","mem","zet","lp","ll","Persec"
"reset450","5ece8a3c088813259ffc1e0f",0.001,0.999,0.455116295767342,0.512899886021207,0.999999263395589,0.199126236925292,-43.1630297495292,-42.7967564249753,24
"reset451","5eceba5be22abb2ca0077349",0.001,0.999,0.542349516080741,0.499552022250838,0.999999768676635,0.168551937185937,-33.4520559365683,-33.0349375588762,0
"reset452","5ecfd28bb14b1c05751f178c",0.001,0.999,0.500941464103331,0.642022265716559,0.999982076573188,0.652842789759688,-65.0049100554676,-63.3670758312908,29
"reset453","5ecfd2be11216004c17c6b26",0.001,0.999,0.275824498089233,0.347775173659639,0.999998969071311,0.368372013984623,-48.5212425840941,-47.7106241473972,0
"reset454","5ed0c66875039f000b4e3897",0.001,0.999,0.398548241292361,1.28064617221916e-06,0.999999186269605,0.0785382699895724,-22.4985048638351,-19.3204828578232,0
"reset455","5ed0d82c81c0bd1bccc8ceea",0.001,0.999,0.126247377033486,5.88613243658334e-06,0.999998991857263,0.0403321701269929,-18.0570567689439,-15.2500511585279,0
"reset456","5ed14d3bc71f86079de10d13",0.001,0.999,0.305245290754795,0.356306427109572,0.999999167719458,0.267212501511161,-47.4697109077652,-46.92007271511,0
"reset457","5ed2b2478e4b7b10b7f4a529",0.001,0.999,0.427624262103152,0.334249483576185,0.999982433194398,0.316540573967112,-46.5882758822819,-46.2229573515246,0
"reset458","5ed358aab6ee6f2e2885eddf",0.001,0.999,0.276981931192653,0.654466284482652,0.999961626690619,0.381151777680242,-52.8638712878462,-52.3762854585056,3
"reset459","5ed38829fff60d32fb95a117",0.001,0.999,0.0432957355500458,2.13863927023481e-06,0.999997456230147,0.178238765617932,-34.8933874813739,-31.5996607752103,4
"reset460","5ed3f7a0f387a109b6580537",0.001,0.999,0.0426728421654878,0.0442651441555756,0.999944281405242,0.738336525391258,-69.1128399430575,-66.4390201592519,0
