"","ID","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ll","Persec","ICARTot","Order"
"ID10","56c81007ba8e37000d7b211e",0.230715070414976,2.81074225471992,0.848118408789456,3.50583559576795,0.0387776575713165,3.27449475887312,0.0102755422981387,0.00145838385970882,NA,NA,NA,NA,-20.6313908099239,1,6,"Unfair"
"ID11","56f699e876348f000c883bba",0.547867249963537,0.0397329357414268,0.994317409054825,1.61951683270052,0.452540246057784,-0.283533319417743,7.07387596176627,7.1680528317139,NA,NA,NA,NA,-83.4693003561914,12,5,"Unfair"
"ID12","571de7af13b1b70009be2f26",0.424800243981725,0.250766130026213,0.906734590879883,0.883047921117406,3.38194219481414,-0.543293926006201,1.25594939275398,0.220434662461136,NA,NA,NA,NA,-57.5346014843552,0,4,"Fair"
"ID13","5744bbe15e549100063b08cb",0.141313076990618,1.15386873593828,0.129682199447611,1.44310385409647,0.300876676622625,-3.806007278243,0.367653023294453,0.305071537037821,NA,NA,NA,NA,-52.1994049913819,2,3,"Fair"
"ID14","57611238eaf3f80007481e8e",0.51357183487676,0.102182635166601,0.655162262840535,0.0756322652475575,5.12165598586471,-4.03467949708825,0.679449559557628,0.412904500385266,NA,NA,NA,NA,-52.8000281664797,3,2,"Fair"
"ID15","5778eeb20e49300001ba9ec0",0.848799275209741,1.50055885749564,0.922283978845292,2.07145246267273,0.274235367105255,0.943585613376859,9.96203505090998,7.43150068772164,NA,NA,NA,NA,-64.4039964267139,0,4,"Unfair"
"ID16","577a6900f8f7ed00014b537b",0.713360348672942,3.75943120219329,0.996307017854347,0.839937348667032,0.790269651733842,2.52619442498829,5.53063053182212,4.8636612208906,NA,NA,NA,NA,-83.489663685924,0,4,"Fair"
"ID17","5784d25070c76a00012427e0",0.070010044855012,0.931343346954335,0.251779411275043,2.41940522702992,0.0316770535386702,-0.157041025254207,0.213765227508944,0.137909548122927,NA,NA,NA,NA,-9.50905707313938,0,9,"Fair"
"ID18","579fb6f46475d400015ab855",0.999942212694665,2.45702901329115,0.924982209488601,0.0435143114261333,3.63166165091496,-1.07001984472018,0.659786771957637,0.574597777002369,NA,NA,NA,NA,-44.18667143138,15,5,"Unfair"
"ID19","57f8a3ece480f5000136f588",0.533438442015938,2.75307335639766,0.965665168006951,2.89901675118371,2.22522887684262,6.45574133535118,1.83676994083613,0.24629399898431,NA,NA,NA,NA,-47.6764783528259,0,5,"Fair"
"ID20","5808ec7ff0740c0001789a1b",0.552825178854146,2.01444321558348,0.135285788965273,1.84993262373663,2.2080276760456,-1.79612245392394,0.376456643001328,0.822643064893542,NA,NA,NA,NA,-72.8572327622889,0,8,"Unfair"
"ID21","584726b8f063d30001161e6a",0.0644063138758519,1.09107068192751,0.501048123342783,4.79653192691053,1.23109463888879,-1.32692797167404,0.151671238768222,0.15179983982694,NA,NA,NA,NA,-63.5539364398904,1,8,"Fair"
"ID22","58513454b9f14b000151795f",0.0321721727486937,1.75493374844491,0.709531308896207,2.21750512563804,0.441959013303907,-2.52977668191251,0.439914705989303,0.378118535252828,NA,NA,NA,NA,-50.1678067109642,7,4,"Fair"
"ID23","5870336cdb3e720001e230cd",0.867209881420651,8.08609111898011,0.934049165104338,2.69385024266382,0.550659929260243,1.56353687221375,0.649134382204017,0.19307094096977,NA,NA,NA,NA,-59.0724311835188,0,6,"Unfair"
"ID24","587291591c35f20001955c45",0.00322056320818618,0.212332139133798,1.915530492367e-05,5.18744268654282,2.28278056891556,4.60091411589151,0.788596492144455,0.924838924938979,NA,NA,NA,NA,-22.7270069658141,0,5,"Fair"
"ID25","587388b9db3e720001e2320e",0.0526905550783664,3.45656991876054,0.828788617986388,2.80055493808004,0.0655097067771097,-14.0516695545252,2.35470072472536,0.714129615322263,NA,NA,NA,NA,-42.2125594610832,6,5,"Fair"
"ID26","587620554254cb0001c15a23",0.0893328289139209,1.31905111665731,0.649261846352828,0.401525033229673,0.438245254245329,-3.97932252662289,0.64971565183603,0.425976360867073,NA,NA,NA,NA,-38.4263357427404,5,2,"Fair"
"ID27","5883d68d300c0b000113db56",0.550480689120736,0.604251135829669,0.986730116299488,1.40724117430846,0.0867889003669857,-1.25382278041068,2.18125220111055,2.49910282423687,NA,NA,NA,NA,-91.8068563314831,0,1,"Fair"
"ID28","58c3c197da66280001b3c6e8",0.701305754026189,0.895956812128826,0.789528098020431,2.01119081053702,0.350514877439632,2.32435775988169,0.463434434178433,0.155165055633199,NA,NA,NA,NA,-62.5381435941134,0,4,"Unfair"
"ID29","58cef97d5e07b6000139fa16",0.917292185624088,1.56732762608212,0.999999999997168,1.92880947089035,1.8267586169274,-1.180481925275,0.970146127147238,5.90900629919434,NA,NA,NA,NA,-107.893187459232,3,9,"Unfair"
"ID30","58f364d67b2e410001c2ed1d",0.935197103116457,3.43153114332189,0.979862439529712,3.90070298823097,1.03232749501111,2.73957876031403,1.75580219402975,0.406959050188781,NA,NA,NA,NA,-41.4235047146807,0,8,"Fair"
"ID31","58f89d1cedf274000143eb4e",0.389577580294738,1.19081197155307,0.354429730566314,2.26546324767122,0.517078972956254,-5.00948883332627,0.446766263882654,0.299325889697197,NA,NA,NA,NA,-47.1555105045643,3,6,"Fair"
"ID32","58fa6e1bd0055c0001dd838a",0.322217847876687,1.59480444795635,0.717432881110745,0.538924778345568,0.806223412479638,-1.56797525689824,0.423633397003448,0.139704976402593,NA,NA,NA,NA,-55.6284618131299,0,4,"Fair"
"ID33","590f202eea0e130001039e1f",0.637532368908931,0.394070182076828,0.968843998250283,4.5794655493344,0.466184373551599,0.234460130886953,0.254639079410003,0.303878325313048,NA,NA,NA,NA,-56.5912749778226,6,3,"Unfair"
"ID34","593ead9ea514380001e5cf86",0.984553389587474,0.214238500186193,0.999999578303508,1.76863888320101,8.80841475702957,0.320723915588003,3.6294179290817,0.955196308845632,NA,NA,NA,NA,-63.4154870081178,2,4,"Unfair"
"ID35","595339f4ad2ce90001b88266",0.438424847061258,0.0399725469288294,0.99999326343131,1.92589435980453,3.62686433632091,0.549697765554677,2.19787925126152,9.59579108252255,NA,NA,NA,NA,-42.4965100429561,0,4,"Unfair"
"ID36","5953d37b3d663c00011d233c",0.999992072910585,2.96345381393906,0.999873293361011,1.93901910463402,3.46476878603036,-0.100956757116188,7.35295970508803,7.37235069533262,NA,NA,NA,NA,-69.0889696800042,0,4,"Fair"
"ID37","598ab1ed19432500016fafa1",0.987004080170803,0.67406953188062,0.991450016306624,1.00231900228362,1.54009250096354,6.00630969821785,1.28075689005881,1.01136051819531,NA,NA,NA,NA,-63.6547913117871,0,2,"Fair"
"ID38","5991c4a8e339120001fb8c7e",0.590473614983525,2.97972832690025,0.571121953394371,2.83492730119341,0.0336782993597601,-1.44303400108487,0.267609966891484,0.187567695292767,NA,NA,NA,NA,-17.1136330994675,0,3,"Fair"
"ID39","5995ed90d1732a00013425c5",0.639881009758776,0.0574243075273126,0.99944027976679,2.47679046632162,5.13549714917353,-2.68029893068366,0.0380580432117758,1.71861768341661,NA,NA,NA,NA,-52.5446314851431,2,1,"Fair"
"ID40","599614af004c4f0001cc8642",0.995779166851306,6.1645453657263,0.96596563843062,0.648525984192469,10.3651193110987,1.30452692138293,0.0720843470426186,4.33829382718817,NA,NA,NA,NA,-73.2016939118672,0,2,"Unfair"
"ID41","59c80c180aaf750001213cbf",0.340430885188707,2.25780170466072,0.959596584934233,0.483033743353236,0.339169892535295,3.17593307988239,3.78575490593954,2.61346556589515,NA,NA,NA,NA,-116.725290799727,0,5,"Fair"
"ID42","59d38d62323bd80001e200bc",0.02819616528305,0.0578664078988823,0.00185968945125048,3.82502998996355,1.20294005750935,-1.16174878397437,2.36083135417326,1.8630050968803,NA,NA,NA,NA,-80.7388916698604,12,4,"Unfair"
