"","ID","tau","lrc","reset","sal","mem","zeta","lp","sumll"
"ID88","5bb756696322c5000159756c","0.01","0.99","0.57","0.3","0.999999","0.1","-69.8287675985807","-63.1844441251921"
"ID89","5bbe3c5cee6586000142be43","0.01","0.99","0.57","0.3","0.999999","0.1","-40.5430543326701","-33.8987308592815"
"ID90","5bc08c345e8a950001892156","0.01","0.99","0.57","0.3","0.999999","0.1","-53.4863031741089","-46.8419797007202"
"ID91","5bc642c0069008000139d18b","0.01","0.99","0.43","0.3","0.999999","0.1","-43.8126607973225","-37.1683373239339"
"ID92","5bdc3c8182698d0001f076c3","0.01","0.99","0.57","0.3","0.999999","0.0285721428571429","-32.0660148349495","-25.5079803379264"
"ID93","5be1f75bd536990001a4410c","0.01","0.99","0.43","0.3","0.999999","0.1","-88.8212734175043","-82.1769499441156"
"ID94","5be2fadf5e9fd30001696162","0.01","0.99","0.43","0.3","0.9","0.1","-70.6524397680121","-65.1488728895519"
"ID95","5be415810241050001ca2318","0.01","0.99","0.43","0.3","0.999999","0.1","-106.990767658103","-100.346444184714"
"ID96","5bec2847ac6b780001fec122","0.01","0.99","0.99","1e-06","0.999999","0.1","-33.5551198734726","-23.5261672943195"
"ID97","5bec6a8b1209fb00011bb521","0.01","0.99","0.57","0.3","0.999999","0.1","-46.4694524090291","-39.8251289356404"
"ID98","5beefb60e015710001cbb721","0.01","0.99","0.57","0.3","0.999999","0.1","-72.9176500332096","-66.273326559821"
"ID99","5bf2f728bd9f150001f6cc42","0.01","0.99","0.43","1e-06","0.999999","0.1","-42.1929251555588","-32.4848857297451"
"ID100","5bf4123e840310000124cfca","0.01","0.99","0.43","0.3","0.999999","0.1","-73.9670696863632","-67.3227462129746"
"ID101","5bf44a04d7e7a70001d7a672","0.01","0.99","0.01","1e-06","0.999999","0.1","-76.1847766267025","-66.1558240475495"
"ID102","5bf4584fabf94600013a9fa1","0.01","0.99","0.43","0.3","0.999999","0.0714288571428571","-38.5346938610139","-31.9344888356267"
"ID103","5bf5b2627ea49f0001ba9372","0.01","0.99","0.57","0.3","0.999999","0.1","-54.8714150724743","-48.2270915990857"
"ID104","5bf728483db90d0001f48ff7","0.01","0.99","0.43","0.3","0.9","0.1","-51.3172685677096","-45.8137016892494"
"ID105","5bfed3f1aa5fa3000136a998","0.01","0.99","0.71","1e-06","0.999999","0.1","-34.8908365351136","-25.1653695416499"
"ID106","5c081c45fd9c080001709937","0.01","0.99","0.57","0.3","0.999999","0.1","-84.6145242636486","-77.9702007902599"
"ID107","5c0843f24452300001df4ea0","0.01","0.99","0.57","0.3","0.999999","0.1","-44.4561108005154","-37.8117873271267"
"ID108","5c10377461df5c0001cb4906","0.01","0.99","0.57","0.3","0.999999","0.1","-104.826390122657","-98.1820666492687"
"ID109","5c1129084be31a00014802fb","0.01","0.99","0.43","0.3","0.999999","0.1","-63.0099401967892","-56.3656167234005"
"ID110","5c1a54257fa1590001b96070","0.01","0.99","0.57","0.3","0.999999","0.1","-56.5205842101173","-49.8762607367287"
