"","ID","pHI0","uHI0","pSI0","uSI0","upi","etaHI","etaSI","ll","Persec","ICARTot","Order"
"ID37","598ab1ed19432500016fafa1",0.858309424480019,4.51201779460883,0.181733338286871,1.93199587894464,17.1975917340529,0.223895299451351,0.951966020922808,-93.1891880866648,0,2,"Fair"
"ID38","5991c4a8e339120001fb8c7e",0.638258869947395,0.837298503423359,0.630782710446909,1.14633072406974,0.472691983477534,0.0497681497364041,0.201937338658665,-46.7419366314736,0,3,"Fair"
"ID39","5995ed90d1732a00013425c5",0.64633160931834,0.15079303553614,0.669534235474664,0.135630459501048,2.10067750369899,0.45730898708845,0.720873317090208,-48.3402239034724,2,1,"Fair"
"ID40","599614af004c4f0001cc8642",0.560901812655974,0.316027351220337,0.568486810128547,0.211535088232452,6.32691610615795,0.509473656760867,0.0949949260824168,-74.8148393776185,0,2,"Unfair"
"ID41","59c80c180aaf750001213cbf",0.598615415368478,2.56379380355102,0.999944137623206,2.51842394297849,3.16311271950372,0.328152501332277,0.0668161531022243,-86.3666945192081,0,5,"Fair"
"ID42","59d38d62323bd80001e200bc",0.00767221538469398,0.0474710079066152,0.0241711382206651,3.42780757482749,6.56690817295465,0.834970722313453,0.00553820870196373,-43.0667921808955,12,4,"Unfair"
"ID43","59d4b084115096000190dbce",0.983165938463036,0.528345582817052,0.99497126466652,0.60844739808828,12.4951457446224,0.641263932659946,0.663639800339463,-72.9068822443659,0,7,"Unfair"
"ID44","59e5fd82e75b450001a691ec",0.0588624174589751,0.123752613501135,0.0112979758251028,3.6846888269267,2.14135885674741,0.68032977948917,0.875674607954877,-36.1184356706478,5,6,"Fair"
"ID45","59e8cb08bab73300016bd7f7",0.183549346364071,4.56278414921052,0.993080416003556,0.127433854944797,7.68646789591408,0.381444797649863,0.548071673823785,-59.4188605064512,0,5,"Fair"
"ID46","59e9d2c6c0d35a0001295448",0.336740930266188,0.215195132595247,0.598122566710347,0.162830301156747,1.78635950107084,0.196819099821839,0.96386271271346,-48.0359994389623,0,1,"Fair"
"ID47","5a3996f6ae52e600010a0192",0.995784643209536,0.0684271109603096,0.989574760757638,0.224377196851585,13.3740702217961,0.408305732110987,0.65272543880447,-75.8317302074736,0,8,"Fair"
"ID48","5a3a570307245d0001fc0692",0.174725503882487,0.139497474886289,0.717653931210592,0.0982962906068955,6.33744714919945,0.870839582077869,0.859907771600761,-56.4073369098113,2,9,"Fair"
